_id: 57c82964fbff50645890826e
SMARTS: [C:2]-[OH;+0:1].[OH;+0:3]-[C:4]-[C:5](-[OH;+0:8])-[C:6]-[OH;+0:7]>>O=C-[O;H0;+0:1]-[C:2].O=C-[O;H0;+0:3]-[C:4]-[C:5](-[C:6]-[O;H0;+0:7]-C=O)-[O;H0;+0:8]-C=O
number of examples: 1898
EFG Index	Name	SMARTS	Fraction of examples with co-existing group
0	Hydrocarbons	NOT [!#6!#1]	0.0110642781876
1	Cations	[+,++,+3,+4,+5,+6,+7,$([#7v4]),$([#8v3])] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*+]~[*-])]	0.00526870389884
2	Anions	[-,--,-3,-4,-5,-6,-7] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*-]~[*+])]	0.00526870389884
3	Carbonyl compouns: aldehydes or ketones	[$([H][CX3]([#1,#6])=[OX1]),$([#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)])]	0.0979978925184
4	Aldehydes	[H][CX3]([#1,#6])=[OX1]	0.0
5	Ketones	[#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)]	0.0979978925184
6	Thiocarbonyl compounds: thioaldehydes or thioketones	[$([#1,#6][#6X3](=[SX1])[#1,#6]),$([#6]=[CX2]=[Sv2X1])]	0.000526870389884
7	Thioaldehydes	[#1][CX3]([#1,#6])=[SX1]	0.0
8	Thioketones	[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)]	0.0
9	Imines	[#1,#6][CX3](=[NX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6]	0.00526870389884
10	Hydrazones	[CX3]([#1,#6])([#1,#6])=[NX2][#7X3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
11	Semicarbazones	[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
12	Thiosemicarbazones	[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
13	Oximes	[#1,#6][CX3]([#1,#6])=[NX2][OH1]	0.000526870389884
14	Oxime ethers	[#1,#6][CX3]([#1,#6])=[NX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
15	Ketenes	[OX1]=[CX2]=[CX3]([#1,#6])[#1,#6]	0.0
16	Ketene acetal derivatives	[#1,#6][CX3]([#1,#6])=[CX3]([!#6!#1])[!#6!#1]	0.0173867228662
